image_id,verdict,reason
N1458303802_2,bad,dark frame with only star points and no rings
N1463476856_2,marginal,small crisp ring arc at bottom edge but frame mostly dark
N1463628417_2,marginal,small ring arc confined to one corner of a dark frame
N1464249530_1,marginal,bright ring arc only in corner and partly saturated
N1464249800_1,bad,dark frame with faint diffuse glow and no ring edges
N1464511022_2,bad,dark frame with only star points and no rings
N1467344155_2,marginal,ring banding fills frame but soft and low contrast
N1467344214_2,marginal,low contrast banding with only faint diagonal lanes
N1467344332_2,marginal,soft low contrast banding without sharp edges
N1467344391_2,marginal,soft low contrast banding without sharp edges
N1467345149_2,good,high contrast diagonal lanes with distinct edges across frame
N1467345267_2,marginal,faint banding with one weak diagonal edge in corner
N1467345326_2,marginal,very faint dark banding and one weak lane
N1467345444_2,marginal,distinct dark lanes only in one corner rest faint
N1469402614_2,bad,dark frame with only star points and no rings
N1471412676_2,bad,smooth glow gradient with no ring features
N1471414477_2,bad,smooth glow gradient with no ring features
N1471418167_2,bad,Saturn disk dominates with no ring features
N1471421769_2,bad,Saturn disk dominates with no ring features
N1471993371_2,bad,mostly dark with tiny ring sliver in corner
N1472193899_2,bad,Saturn disk and haze dominate with no ring features
N1472197501_2,bad,diffuse limb glow and no ring features
N1472201103_2,bad,Saturn disk and haze dominate with no ring features
N1472649235_1,bad,nearly black frame with single point source only
N1473177482_1,bad,Saturn disk and atmosphere dominate with no rings
N1473188282_1,bad,Saturn atmosphere dominates with no ring features
N1473204482_1,bad,Saturn disk and atmosphere dominate with no rings
N1473231482_1,bad,Saturn disk and atmosphere dominate with no rings
N1473236882_1,bad,Saturn disk and atmosphere dominate with no rings
N1473289330_1,marginal,fine ringlets visible only in narrow strip at frame edge
N1473692743_1,marginal,ring striations at right edge but soft and disk dominates
N1473703470_1,marginal,striated ring band at edge partly saturated rest is disk
N1473703543_7,bad,disk glow dominates and ring arcs are very soft
N1473703716_1,marginal,ring striations at right edge but soft and disk dominates
N1473703764_1,marginal,faint ring striations at right edge and disk dominates
N1474005783_1,bad,disk dominates and ring strip at edge is saturated
N1475766766_1,bad,smooth atmosphere gradient with no ring features
N1475766785_1,bad,smooth atmosphere gradient with no ring features
N1475766804_1,bad,smooth atmosphere gradient with no ring features
N1476337893_1,bad,Saturn disk dominates with only faint corner ring lines
N1476584780_1,bad,Saturn disk and dark side dominate with no rings
N1476584980_1,bad,Saturn disk and dark side dominate with no rings
N1476585047_1,bad,Saturn disk and dark side dominate with no rings
N1477307700_2,good,sharp curved ringlets and gap edges across frame
N1477308275_2,good,many sharp ringlet boundaries and dark gaps
N1477308379_2,good,many crisp ringlets and dark gaps across frame
N1477308958_2,good,dense sharp ring banding high contrast
N1477309062_2,marginal,banding visible but soft and washed out
N1477593061_1,good,sharp high-contrast ringlets and gap edges
N1479573767_1,bad,nearly all dark with only faint corner sliver
N1480612821_1,bad,dark frame with overexposed limb arc and point sources only
N1484916091_1,good,crisp ring band across top with distinct edges and banding
N1485154691_1,bad,smooth atmosphere gradient no rings
N1485169091_1,bad,smooth atmosphere gradient no rings
N1485183491_1,bad,atmosphere dominates no ring features
N1485197891_1,bad,atmosphere dominates no ring features
